viina_version,event_id_1pd,date,n_reports,event_ids,sources,geonameid,feature_code,asciiname,ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,longitude,latitude,GEO_PRECISION,t_mil_b,a_rus_b,a_ukr_b,a_rus_init_b,a_ukr_init_b,a_civ_b,a_other_b,t_aad_b,t_airstrike_b,t_airalert_b,t_uav_b,t_armor_b,t_arrest_b,t_artillery_b,t_control_b,t_firefight_b,t_ied_b,t_raid_b,t_occupy_b,t_property_b,t_cyber_b,t_hospital_b,t_milcas_b,t_civcas_b,t_retreat_b,t_loc_b,t_san_b
bert_20250404023629,342883,20230101,1,106944,liveuamap,11776362,PPLH,Demiyevka,Kiev City,1210,Holosiïvs'kyi,14450,30.52313,50.42165,ADM3,1,0,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,346680,20230101,1,106945,liveuamap,11778464,PPLH,Borshchahivka,Kiev City,1210,Sviatoshyns'kyi,35620,30.38503,50.46066,ADM3,1,0,0,,,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,342882,20230101,1,106946,liveuamap,11776362,PPLH,Demiyevka,Kiev City,1210,Holosiïvs'kyi,14450,30.52067,50.42134,ADM3,1,0,0,,,0,0,0,0,0,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
bert_20250404023629,342880,20230101,1,106947,liveuamap,11776362,PPLH,Demiyevka,Kiev City,1210,Holosiïvs'kyi,14450,30.52399,50.421727,ADM3,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bert_20250404023629,342881,20230101,1,106949,liveuamap,11776362,PPLH,Demiyevka,Kiev City,1210,Holosiïvs'kyi,14450,30.52066,50.42097,ADM3,1,0,0,,,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,110962,20230101,1,106950,liveuamap,700569,PPLA,Mykolayiv,Mykolayiv,1628,Mykola‹vs'ka,24267,31.99768,46.96456,ADM1,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,192450,20230101,1,106951,liveuamap,706369,PPLA,Khmelnytskyy,Khmel'nyts'kyy,1196,Khmel'nyts'ka,17913,26.98311,49.42236,ADM1,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,346681,20230101,1,106952,liveuamap,11778464,PPLH,Borshchahivka,Kiev City,1210,Sviatoshyns'kyi,35620,30.4541,50.42722,ADM3,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bert_20250404023629,154160,20230101,1,106953,liveuamap,703448,PPLC,Kyiv,Kiev City,1210,Shevchenkivs'kyi,33738,30.52355,50.450441,ADM3,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bert_20250404023629,177628,20230101,1,106954,liveuamap,704508,PPLA2,Kramatorsk,Donets'k,655,Kramators'ka,18898,37.56689,48.74193,ADM3,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,114951,20230101,1,106955,liveuamap,700569,PPLA,Mykolayiv,Mykolayiv,1628,Mykola‹vs'ka,24267,31.993813,46.975574,ADM3,1,1,0,,,0,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,80502,20230101,1,106956,liveuamap,696359,PPL,Peredmistna Slobidka,Kiev City,1210,Dniprovs'kyi,9968,30.57312,50.43389,ADM3,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,6362,20230101,1,106957,liveuamap,687700,PPLA,Zaporizhzhya,Zaporizhzhya,2730,Zaporiz'ka,41153,35.13823,47.81938,ADM1,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,46690,20230101,1,106958,liveuamap,692945,PPL,Stanyshivka,Zhytomyr,2739,Zhytomyrs'kyi,41343,28.70676,50.22711,ADM3,1,1,0,,,0,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,342780,20230101,1,106959,liveuamap,11776361,PPLH,Starosillia,Kiev,1209,Vyshhorods'kyi,39919,30.51358,50.60348,ADM2,1,1,0,,,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bert_20250404023629,231063,20230101,1,106960,liveuamap,708924,PPL,Havryshivka,Vinnytsya,2611,Vinnyts'kyi,39647,28.6235,49.23643,ADM3,1,0,0,,,0,0,0,0,1,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
bert_20250404023629,168128,20230101,1,106961,liveuamap,703757,PPLH,Kukhmisterskaya Sloboda,Kiev City,1210,Darnyts'kyi,9350,30.58319,50.40979,ADM3,1,0,0,,,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
