ADM1_NAME,ADM2_NAME,ADM2_CODE
Mykolayiv,Kryvoozers'kyi,19031.0
Mykolayiv,Mykola‹vs'ka,24267.0
Mykolayiv,Mykola‹vs'kyi,24268.0
Mykolayiv,Novobuz'kyi,25889.0
Mykolayiv,Novoodes'kyi,25916.0
Mykolayiv,Ochakivs'kyi,26216.0
Mykolayiv,Pervomais'kyi,28192.0
Mykolayiv,Snihurivs'kyi,34552.0
Mykolayiv,Veselynivs'kyi,39378.0
Mykolayiv,Voznesens'kyi,39841.0
Mykolayiv,Zhovtnevyi,41330.0
Odessa,Anan'‹vs'kyi,1709.0
Odessa,Artsyz'kyi,2378.0
Odessa,Balts'kyi,3302.0
Odessa,Berezivs'kyi,4371.0
Odessa,Bilhorod-Dnistrovs'kyi,4609.0
Odessa,Bilia‹vs'kyi,4610.0
Odessa,Bolhrads'kyi,5029.0
Odessa,Ivanivs'kyi,15842.0
Odessa,Izma‹l's'ka,15941.0
Odessa,Kiliis'kyi,18107.0
Odessa,Kodyms'kyi,18447.0
Odessa,Kominternivs'kyi,18555.0
Odessa,Kotovs'kyi,18813.0
Odessa,Krasnooknians'kyi,18942.0
Odessa,Mykola‹vs'kyi,24268.0
Odessa,Odes'ka,26260.0
Odessa,Ovidiopol's'kyi,27181.0
Odessa,Reniis'kyi,30277.0
Odessa,Rozdil'nias'kyi,30835.0
Odessa,Sarats'kyi,32791.0
Odessa,Shyria‹vs'kyi,33944.0
Odessa,Tarutyns'kyi,36463.0
Odessa,Tatarbunars'kyi,36497.0
Odessa,Velykomykhailivs'kyi,39274.0
Poltava,Chutivs'kyi,8081.0
Poltava,Dykans'kyi,10504.0
Poltava,Hadiats'kyi,13656.0
Poltava,Hlobyns'kyi,14362.0
Poltava,Karlivs'kyi,17358.0
Poltava,Khorol's'kyi,17952.0
Poltava,Kobeliats'kyi,18419.0
Poltava,Komsomol's'ka,18566.0
Poltava,Kotelevs'kyi,18802.0
Poltava,Kozel'shchyns'kyi,18867.0
Poltava,Kremenchuts'ka,18970.0
Poltava,Kremenchuts'kyi,18971.0
Poltava,Lubens'kyi,20836.0
Poltava,Mashivs'kyi,22201.0
Poltava,Myrhorods'kyi,24275.0
Poltava,Novosanzhars'kyi,25924.0
Poltava,Poltavs'ka,28898.0
Poltava,Poltavs'kyi,28899.0
Poltava,Pyriatyns'kyi,29616.0
Poltava,Reshetylivs'kyi,30301.0
Poltava,Shyshats'kyi,33946.0
Poltava,Velykobahachans'kyi,39269.0
Poltava,Zin'kivs'kyi,41369.0
Rivne,Bereznivs'kyi,4374.0
Rivne,Dubens'kyi,10348.0
Rivne,Dubnivs'ka,10350.0
Rivne,Dubrovyts'kyi,10360.0
Rivne,Hoshchans'kyi,14544.0
Rivne,Korets'kyi,18665.0
Rivne,Kostopil's'kyi,18743.0
Rivne,Ostroz'kyi,26909.0
Rivne,Radyvylivs'kyi,29917.0
Rivne,Rivnens'ka,30582.0
Rivne,Rivnens'kyi,30583.0
Rivne,Sarnens'kyi,32845.0
Rivne,Volodymyrets'kyi,39787.0
Rivne,Zdolbunivs'kyi,41222.0
Sevastopol',Balaklavs'kyi,3177.0
Sevastopol',Haharins'kyi,13688.0
Sevastopol',Lenins'kyi,20221.0
Sevastopol',Nakhimovs'kyi,24696.0
Sumy,Bilopils'kyi,4621.0
Sumy,Buryns'kyi,6034.0
Sumy,Hlukhivs'kyi,14364.0
Sumy,Iampil's'kyi,14822.0
Sumy,Konotops'kyi,18617.0
Sumy,Krasnopil's'kyi,18946.0
Sumy,Krolevets'kyi,18997.0
Sumy,Lebedyns'kyi,20119.0
Sumy,Nedryhailivs'kyi,25039.0
Sumy,Okhtyrs'ka,26413.0
Sumy,Okhtyrs'kyi,26414.0
Sumy,Putyvl's'kyi,29596.0
Sumy,Romens'ka,30692.0
Sumy,Romens'kyi,30693.0
Sumy,Seredyno-Buds'kyi,33405.0
Sumy,Shostkins'ka,33897.0
Sumy,Shostkins'kyi,33898.0
Sumy,Sums'ka,35425.0
Sumy,Sums'kyi,35426.0
Sumy,Trostianets'kyi,37922.0
Sumy,Velykopysarivs'kyi,39277.0
Ternopil',Berezhans'kyi,4370.0
Ternopil',Buchats'kyi,5738.0
Ternopil',Chortkivs'kyi,8001.0
Ternopil',Husiatyns'kyi,14774.0
Ternopil',Kozivs'kyi,18874.0
Ternopil',Kremenets'kyi,18972.0
Ternopil',Pidhaiets'kyi,28440.0
Ternopil',Shums'kyi,33922.0
Ternopil',Terebovlians'kyi,36831.0
Ternopil',Ternopil's'ka,36855.0
Ternopil',Ternopil's'kyi,36856.0
Ternopil',Zalishchyts'kyi,41113.0
Ternopil',Zbaraz'kyi,41217.0
Ternopil',Zborivs'kyi,41219.0
Transcarpathia,Berehivs'kyi,4358.0
Transcarpathia,Irshavs'kyi,15507.0
Transcarpathia,Khusts'kyi,18005.0
Transcarpathia,Mukachivs'ka,24016.0
Transcarpathia,Mukachivs'kyi,24017.0
Transcarpathia,Perechyns'kyi,28127.0
Transcarpathia,Rakhivs'kyi,29976.0
Transcarpathia,Svaliavs'kyi,35577.0
Transcarpathia,Tiachivs'kyi,37140.0
Transcarpathia,Uzhhorods'ka,38884.0
Transcarpathia,Uzhhorods'kyi,38885.0
Transcarpathia,Velykobereznians'kyi,39270.0
Transcarpathia,Volovets'kyi,39796.0
Transcarpathia,Vynohradivs'kyi,39917.0
Vinnytsya,Bars'kyi,3743.0
Vinnytsya,Bershads'kyi,4433.0
Vinnytsya,Iampil's'kyi,14822.0
Vinnytsya,Illinets'kyi,15195.0
Vinnytsya,Kalynivs'kyi,17032.0
Vinnytsya,Koziatyns'kyi,18872.0
