viina_version,event_id_1pd,date,n_reports,event_ids,sources,geonameid,feature_code,asciiname,ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,longitude,latitude,GEO_PRECISION,t_mil_b,a_rus_b,a_ukr_b,a_rus_init_b,a_ukr_init_b,a_civ_b,a_other_b,t_aad_b,t_airstrike_b,t_airalert_b,t_uav_b,t_armor_b,t_arrest_b,t_artillery_b,t_control_b,t_firefight_b,t_ied_b,t_raid_b,t_occupy_b,t_property_b,t_cyber_b,t_hospital_b,t_milcas_b,t_civcas_b,t_retreat_b,t_loc_b,t_san_b,tid
bert_20260728024038,41579,20260101,1,2717278,espreso,690773,PPL,Ukrainka,Kiev,1209,Obukhivs'kyi,26204,30.74207,50.15372,ADM3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,46022
bert_20260728024038,41580,20260101,1,2717279,espreso,690773,PPL,Ukrainka,Kiev,1209,Obukhivs'kyi,26204,30.74207,50.15372,ADM3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,46022
bert_20260728024038,214855,20260101,1,2717280,espreso,704204,PPL,Lyman,Donets'k,655,Krasnolymans'kyi,18941,37.82245,48.96409,ADM3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,46022
bert_20260728024038,221475,20260101,1,2717281,espreso,704422,PPLA2,Pokrovsk,Donets'k,655,Krasnoarmiis'kyi,18918,37.1756,48.28035,ADM3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,46022
bert_20260728024038,130276,20260101,1,2717577,liga,699751,PPL,Novgorodskoye,Donets'k,655,Dzerzhyns'ka,10511,37.83659,48.33202,ADM3,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,,46022
bert_20260728024038,271054,20260101,1,2717578,liga,706483,PPLA,Kharkiv,Kharkiv,1191,Kharkivs'ka,17850,36.2312,49.99217,ADM3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,46022
bert_20260728024038,314286,20260101,1,2717830,liveuamap,710394,PPL,Chubayevka,Odessa,1800,Odes'ka,26260,30.72773,46.448,ADM3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,46022
bert_20260728024038,7752,20260101,1,2717831,liveuamap,687700,PPLA,Zaporizhzhya,Zaporizhzhya,2730,Zaporiz'ka,41153,35.1796,47.83976,ADM1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,46022
bert_20260728024038,224766,20260101,1,2717832,liveuamap,704670,PPL,Kotsiubynske,Kiev City,1210,Sviatoshyns'kyi,35620,30.30922,50.47011,ADM3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,46022
bert_20260728024038,282415,20260101,1,2717833,liveuamap,707679,PPL,Ilovays'k,Donets'k,655,Amvrosi‹vs'kyi,1671,38.19105,47.9271,ADM3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,46022
bert_20260728024038,103086,20260101,1,2717834,liveuamap,696877,PPLX,Podil,Kiev City,1210,Shevchenkivs'kyi,33738,30.47882,50.4423,ADM3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,46022
bert_20260728024038,417526,20260101,1,2717835,liveuamap,11012773,PPL,Rostushche,Zaporizhzhya,2730,Zaporiz'ka,41153,35.26491,47.80851,ADM3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,46022
bert_20260728024038,142474,20260101,1,2717836,liveuamap,700848,PPL,Molochansk,Zaporizhzhya,2730,Tokmats'kyi,37511,35.59905,47.20608,ADM3,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,46022
bert_20260728024038,39248,20260101,1,2717837,liveuamap,690411,PPL,Vasylkivka,Dnipropetrovs'k,650,Vasyl'kivs'kyi,39199,36.03056,48.20233,ADM3,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,46022
bert_20260728024038,111391,20260101,1,2717838,liveuamap,698428,PPLA2,Orikhiv,Zaporizhzhya,2730,Orikhivs'kyi,26748,35.78307,47.57565,ADM2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,,,46022
bert_20260728024038,28357,20260101,1,2717839,liveuamap,688871,PPL,Vozdvyzhivka,Zaporizhzhya,2730,Novomykola‹vs'kyi,25913,36.07979,47.74727,ADM3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,,,46022
bert_20260728024038,20169,20260101,1,2717840,liveuamap,687700,PPLA,Zaporizhzhya,Zaporizhzhya,2730,Zaporiz'ka,41153,35.13885,47.83831,ADM3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,,,46022
bert_20260728024038,112010,20260101,1,2717841,liveuamap,698428,PPLA2,Orikhiv,Zaporizhzhya,2730,Orikhivs'kyi,26748,35.77773,47.56947,ADM3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,,,46022
bert_20260728024038,279294,20260101,1,2717843,liveuamap,707314,PPL,Izbytske,Kharkiv,1191,Vovchans'kyi,39837,36.74755,50.20985,ADM3,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,46022
bert_20260728024038,35307,20260101,1,2717844,liveuamap,689304,PPLA2,Vovchansk,Kharkiv,1191,Vovchans'kyi,39837,36.9368,50.29401,ADM3,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,46022
